881304,Адмирал,3,1,0,0,0,4,3,24,22,13,15,28,23,65.51,68.52,15:27,16:17,Куньлунь РС,1
881312,Витязь,0,0,1,0,0,3,3,23,30,16,6,17,27,67.24,65.83,16:56,14:57,Динамо М,2
881311,Северсталь,1,0,1,0,1,5,2,23,33,6,12,22,24,66.79,63.10,21:28,13:46,СКА,4
881310,Нефтехимик,2,1,0,0,0,4,3,31,24,8,10,42,22,68.00,69.77,16:41,15:39,Торпедо,3
881309,Ак Барс,2,0,0,0,1,6,2,26,22,4,12,27,31,70.60,66.44,20:30,12:34,Динамо Мн,3
881308,Салават Юлаев,1,0,1,0,0,4,1,30,29,2,31,38,25,68.79,65.42,21:38,11:41,Спартак,3
881315,Барыс,3,1,1,0,0,1,2,16,28,4,2,20,29,67.21,70.15,10:11,22:24,Трактор,1
881314,Сибирь,2,0,1,2,0,3,5,22,41,10,6,15,33,69.43,70.11,18:54,19:20,Авангард,2
881313,Амур,2,0,0,0,0,7,4,29,31,8,14,24,27,66.25,66.11,18:9,15:14,Куньлунь РС,1
881321,ЦСКА,4,1,0,0,0,4,3,55,20,6,8,52,22,66.76,65.37,16:22,15:14,Витязь,2
881320,Динамо М,2,0,0,0,0,3,1,33,26,4,8,29,18,68.73,67.93,17:20,13:22,ХК Сочи,0
881319,Северсталь,5,0,1,0,0,7,4,21,27,10,39,32,23,66.17,65.59,19:38,16:40,Динамо Мн,2
881318,Локомотив,2,0,2,0,0,4,6,46,22,35,10,36,29,65.98,67.53,17:31,15:43,СКА,3
881317,Ак Барс,2,0,1,0,0,4,3,30,32,8,10,29,28,66.86,70.87,15:31,16:1,Торпедо,1
881316,Автомобилист,4,1,1,0,0,3,2,29,20,4,6,33,30,68.01,70.33,16:59,18:30,Спартак,1
881324,Барыс,5,0,0,0,0,2,0,20,33,0,4,35,33,68.98,70.09,14:45,17:16,Авангард,3
881323,Амур,0,0,1,0,0,2,2,24,26,4,4,36,30,68.22,68.46,17:15,15:25,Металлург Мг,3
881322,Адмирал,2,1,0,0,0,3,4,35,19,11,8,29,32,66.07,70.31,12:9,20:15,Салават Юлаев,0
881331,Динамо Мн,2,0,0,0,2,6,6,25,31,14,14,17,31,66.15,67.69,13:12,20:57,Ак Барс,3
881330,Спартак,1,1,1,0,0,7,7,29,19,14,14,22,28,64.79,70.18,15:29,19:34,Торпедо,2
881329,Динамо М,2,0,0,0,0,1,1,29,20,2,2,25,19,68.28,69.04,14:24,15:22,СКА,3
881328,Куньлунь РС,3,0,0,0,0,3,4,38,26,22,30,36,40,68.16,68.87,15:13,18:38,ХК Сочи,1
881327,Трактор,4,1,0,0,0,2,5,27,24,10,4,22,36,64.45,69.97,16:34,17:52,Нефтехимик,0
881326,Автомобилист,5,2,2,0,0,5,4,35,22,8,10,29,37,66.82,69.51,16:21,18:33,Сибирь,2
881325,Барыс,2,0,1,0,0,3,1,28,23,2,6,25,26,70.14,66.73,19:48,13:38,Авангард,5
881334,Локомотив,0,0,0,0,0,3,3,38,23,8,8,42,19,69.65,71.95,20:41,15:29,Витязь,0
881333,Амур,2,1,0,0,0,3,1,33,31,2,6,30,31,70.04,69.25,18:40,13:52,Металлург Мг,3
881332,Адмирал,2,1,1,0,0,3,5,34,25,12,8,24,29,65.90,67.32,15:52,19:35,Салават Юлаев,1
881339,ЦСКА,5,0,0,0,0,1,3,40,23,31,7,35,27,68.20,68.46,15:45,14:44,ХК Сочи,2
881338,Спартак,1,1,0,0,0,7,6,27,33,16,18,25,29,65.68,64.51,14:59,20:20,Ак Барс,4
881337,СКА,1,0,0,0,0,1,4,31,16,8,2,32,21,68.90,69.15,15:40,20:6,Северсталь,1
881336,Автомобилист,4,4,1,0,0,7,6,49,16,12,14,30,39,65.85,70.14,16:31,19:0,Нефтехимик,3
881335,Барыс,2,0,0,0,0,2,1,24,21,2,4,20,23,71.23,71.33,14:52,18:54,Сибирь,0
881344,Динамо М,1,1,1,0,0,4,4,24,34,8,8,21,29,65.33,65.94,14:49,18:52,Локомотив,3
881343,Торпедо,1,1,0,0,0,2,2,24,30,8,8,36,33,79.21,74.33,21:26,15:13,Витязь,1
881342,Трактор,1,0,2,0,0,3,3,31,23,6,6,14,21,70.57,68.14,21:0,12:48,Авангард,3
